key,input,probability
GPOFEGFXZJVBAV-UHFFFAOYSA-N,O=[N+]([O-])/N=C1\NCCN1CCCCl,0.6483207941055298
JLCVKQHIFSBODF-UHFFFAOYSA-N,CCC1=CC2=C(C3=C(C(=O)N2)C=NN3C2CCC2)C=C1C(=O)N1CCN(CCC(F)(F)F)CC1,0.24723926186561584
HFHMTIRZGGSTAO-UHFFFAOYSA-N,O=C1C2=CC(Cl)=CC=C2C2(C3=CC=CC=C3)SCCN12,0.06811079382896423
ZQPKBYQQGAQUAK-BQYQJAHWSA-N,O=C(O)C1=CC=C(OC/C=C/CN2C(=O)N(C(C3=CC=CC=C3)C3=CC=CC=C3)C(=O)C3=CC=C(N4CCOCC4)C=C23)C=C1,0.4351280927658081
PBQDGEKTDHPEJT-UHFFFAOYSA-N,CNC(=O)C1=CC(OC2=CC=C(NC(=O)C3=CC=C(OC)C=C3)C=C2)=CC=C1N,0.0478421151638031
DRFZSNBMKDNIIY-UHFFFAOYSA-N,O=C(NCC1CC1)C1=CC2=C(S1)CCN2C(=O)C1=CC=C(F)C=C1,0.0642523467540741
SIVHAPVFQQZNKB-UHFFFAOYSA-N,NC1=NN=C(C2=CC=C3NC=C(C4=CC=CC(O)=N4)C3=C2)S1,0.07234233617782593
KEFVSMYJFCKVGF-DVVUODLYSA-N,CC(=O)C1=C(C)OC([C@H]2OC[C@@H](N=[N+]=[N-])[C@@H]2Cl)=C1,0.039603233337402344
MBQZCRIKUPDPSI-UHFFFAOYSA-N,O=C(O)C1=CC=CC(CN2C(=O)CC(C3=CC=CC=C3)SC3=CC=CC=C23)=C1,0.041950881481170654
LZLAWIZBRZSTHY-UHFFFAOYSA-N,O=C(CCC(NC(=O)C1=CC(Cl)=CC(Cl)=C1)C(=O)N1CCC2(CCCC2)CC1)NCCN1CCOCC1,0.6940453052520752
QDJHBNNBIMGPTN-HRQOGRHRSA-N,CC1=CC=CC2=C1OP(=O)(O[C@H]1C[C@H](N3C=C([125I])C(=O)NC3=O)O[C@@H]1CO)OC2,0.045500248670578
UYCUSHGDWRMTBH-ROUUACIJSA-N,CCCCCCCCC1=CC=C(NC(=O)[C@@H](N)[C@@H](O)CC)C=C1,0.09115538001060486
ZURWTJLUKIDQPW-UHFFFAOYSA-N,CC(C)N(CCC1(C2=CC=CC=C2)C(=O)NCN2CCCCC12)C(C)C,0.402447909116745
KPILUSAHPYZUAU-UHFFFAOYSA-N,COC1=CC=C(C(=O)N2CCC3(CC2)CCN(C2=CC=NC=C2)CC3)C=C1,0.11119943857192993
MWDLEZWHBIBUQF-UHFFFAOYSA-N,CNC(=O)CC1=CC=C(C(=O)NC2=CC=CC(C3=CC=C(C4=NC5=CC=CC(C)=C5N4)S3)=C2)C=C1,0.34913861751556396
PMFVVLDDNQOBSK-UHFFFAOYSA-N,CC1=CC(NC(=O)C2=CN=C3C(C(F)(F)F)=CC=CC3=C2O)=NO1,0.03905081748962402
JUPLUOFUEJQTPN-CMDGGOBGSA-N,CS(=O)(=O)N(C1=CC(C(F)(F)P(=O)(O)O)=CC=C1/C=C/C1=CC=CC=C1)S(C)(=O)=O,0.038768500089645386
MLXZZQXUAVHVTH-UHFFFAOYSA-N,O=S(=O)(C1=CC=CC(C2=NN3C(=N2)C2=CC=CC=C2N=C3O)=C1)N1CCCC1,0.25756335258483887
OULXRFUMARETNV-UHFFFAOYSA-N,N#CC1=CC=C(S(=O)(=O)N2CCN(C3=NC=CC=C3C(F)(F)F)CC2)C=C1,0.5685727000236511
WOOTYTHCLUCBAN-BQQVRQSRSA-N,CS(=O)(=O)O.C[C@H]1CN(C2=C(F)C=C3C(=O)C(C(=O)O)=CN(C45CC(C4)C5)C3=C2F)C[C@H]1CN,0.03789392113685608
JHXBUZHKTRBUPU-HKUYNNGSSA-N,CC#CC1=CN=CC(C2=CSC([C@@H]3C[C@@H](C4=C(C)ON=C4C)SC(N)=N3)=C2)=C1,0.4351280927658081
DQUIDHIGYCDUAW-UHFFFAOYSA-N,CCCCC(C)(O)C1CCC(N2C(=O)CC3=CC(OC)=C(OC(C)C)C=C3C2C2=CC=C(Cl)C=C2)CC1,0.77430260181427
XZKSPTBEYGRIAW-UHFFFAOYSA-N,COC1=CC2=C(N3CCN(C(=O)NC4=CC=C(OC5=CC=CC=C5)C=C4)CC3)N=CN=C2C=C1C,0.4351280927658081
XRJVXAMPYWOKBH-UHFFFAOYSA-N,O=C1C=CC(=O)N1CCNC1=NC=C(C(F)(F)F)C=C1Cl,0.24686795473098755
PNKWWEGPNJVDEY-UHFFFAOYSA-N,Cl.Cl.N#CC1=CC=C(CN2C(CN3CCCC3)=NC3=CC=CC=C23)C=C1,0.907886266708374
NQOFDAVXLYCOSS-UWVGGRQHSA-N,CC(=O)N[C@@H](CCN)C(=O)N[C@@H](CC(C)C)C(N)=O,0.051073431968688965
UCLODDTXWGYADM-UHFFFAOYSA-N,COC1=NC=C(N2CCOCC2)C=C1S(=O)(=O)NC1=CC=NC(C2=CC=C(CN3CCCC3)C=C2F)=C1,0.5579918622970581
YPOJPDVIGNKUGH-XDHOZWIPSA-N,O=C(NCCCN1C=CN=C1)/C(=C\C1=CC=CN=C1)NC(=O)C1=CC=CC(Br)=C1,0.09924405813217163
UDYZLBDATCUMND-BGABXYSRSA-N,CCO/N=C(\C1=CC=C(Br)C=C1)C1CCN(C2(C)CCN(C(=O)C3=C(C)C=CN=C3O)CC2)CC1,0.6605328321456909
ACWNTJJUZAIOLW-BWXYOZBYSA-N,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(C)=O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]12,0.0602303147315979
KHGOSYUXMMBUFD-UHFFFAOYSA-N,CC1=C(NC(=O)C2=CC=CC(C#N)=C2)C=NC2=C1C(C1CCN(C(=O)C3CCOC3)CC1)=CN2C,0.26330307126045227
YQKRUFIYOUBDLA-UHFFFAOYSA-N,O=C(CCC1=NC2=CC=CN=C2N1)NC1=CC=C2C(=C1)OCC(=O)N2,0.36891430616378784
GMDSYOIQJYEGEH-KRWDZBQOSA-N,CCCC[C@H](NC(=O)OC(C(C)C)C(C)C)C(=O)C(=O)NC1=CC=NN1C1CCC1,0.4351280927658081
OSZGNMXDUIRKKS-UHFFFAOYSA-N,CC(=O)NC1=NC=CC(C2=CC(C3=CC=CC=C3)=NO2)=N1,0.048459380865097046
FXKGOUKRWOCIHB-UHFFFAOYSA-N,CCCCCCS(=O)(=O)NC1=CC=C(NC2=C3C(=NC4=CC=CC=C24)C=CC=C3)C(OC)=C1.CS(=O)(=O)O,0.6556205153465271
AFUGPLVMIXYSOF-UHFFFAOYSA-N,COC1=CC=CC=C1C1=CC(C)=C(NC2=CC=NC(NC3=CC=C(C#N)C=C3)=N2)C(C)=C1,0.6440924406051636
SBHSPVCXPBMFDR-UHFFFAOYSA-N,CC(O)C1=CC2=C(S1)C(=O)C1=C(C(C(C)O)=CS1)C2=O,0.03789180517196655
PDVPPOQDCVUFMJ-IXXDFCNBSA-N,COC1=CC=CC(C2=CC(C(=O)NC3=CC4=CC=C(OC5CC(C)C[C@@H](O)[C@H]5O)C(C)=C4OC3=O)=CC=C2OC)=C1,0.2584940195083618
NFNFUNPPSRQEKS-UHFFFAOYSA-N,O=C(O)C1=CC=C(SCC2=CC=CC(F)=C2)C=N1,0.04904121160507202
ZJODQSBBDBFFAS-UHFFFAOYSA-N,CC(C)CCCCCCCCCCCCCCNC1=CC=C(C(=O)O)C=C1,0.0476454496383667
MNQJBAQJEVQGPF-UHFFFAOYSA-N,CC1=C(C2=NN(C3=CC=CC=C3)C(C3=CC=CC=C3)C2)SC(C2=CC=CC=C2)=N1,0.6755080223083496
PWYXPDSKZHIDIQ-UHFFFAOYSA-N,CC(NC(=O)C1=CC=C(NC(=O)N2CC3=CC=CC=C3C2)C=C1)C1(C)CC1,0.04086846113204956
MZARYTXBCFQUMR-UHFFFAOYSA-N,CC(C)CC1=CC=C(C(C)C(=O)N2CCN(C3=NC=CC=C3C(=O)NC(C(N)=O)C(C)O)CC2)C=C1,0.038832247257232666
SYLBDRSSIIBAIV-HOTGVXAUSA-N,CSC1=CC=C(C(=O)N[C@@H](CCC/N=C(\N)N[N+](=O)[O-])C(=O)N[C@@H](CC(C)C)C(N)=O)C=C1,0.4351280927658081
PNJABCDGUHWOMR-UHFFFAOYSA-N,CC1=C(C)C2=C(SCC3=NN=C(C4=CC=CC=C4)O3)N=CN=C2S1,0.041516393423080444
OFBWCUWERYAJIG-CVEARBPZSA-N,O=CC1=CC=C([C@H](O)[C@H](O)CO)N1CCC1=CC=C(O)C=C1,0.34899234771728516
LMWAGXVZVZCSLJ-UHFFFAOYSA-N,CC1=CC=C(C)C(NC(=O)CN2N=C(C)C3=CC=CC=C3C2=O)=C1,0.06647613644599915
PWOKLGVLHXQYNY-UHFFFAOYSA-N,CCCCC(=O)OC1=CC(Cl)=CC=C1OC1=CC=C(Cl)C=C1Cl,0.6521321535110474
AAVNKJHZCQBLFE-UHFFFAOYSA-N,CCOC1=CC=C2N=C(N(CCCN(C)C)C(=O)C3=CC=C4C(=C3)CCCC4)SC2=C1.Cl,0.6552988886833191
VDUWUDNNQOTQJY-UHFFFAOYSA-N,C1=CC2=CC(C3=C(C4=CSC=C4)ON=C3C3=CC=C4C(=C3)OCO4)=CC=C2N1,0.6328604817390442
GKPVTQTVQVPDLH-VOTSOKGWSA-N,CCOC(=O)/C=C/C1=CC(CN2CCN(C3=CC=CC=N3)CC2)=CC(C(N)=O)=C1,0.37376832962036133
YVYVEXJFUOWVCK-UHFFFAOYSA-N,CCOC(=O)CCC1=CC=C(C2=CC=C(OC)C=C2)N1C1=CC=C(C(C)=O)C=C1,0.4351280927658081
JUEAHXPWDLGQON-RGKRWLCDSA-N,C[C@@]12CC3=CC=CC=C3CCC(CC3=CC=C(O)C=C13)C2N,0.6235491633415222
VBOOWEPYXWAHBC-UHFFFAOYSA-N,CC1=CC=CN2C(=O)C3=C(SC(C(=O)NCC(C)C)=C3)N=C12,0.0723440945148468
LRZXJAOUUBYAPE-UHFFFAOYSA-N,CC1=CC=C(C(=O)NC2=CC([N+](=O)[O-])=CC=C2F)S1,0.06538227200508118
ZOJSBJMHWGMYNM-UHFFFAOYSA-N,N#CC1=CC=CC=C1C1=CC=C(CN2C(C3=CSC=N3)=NC3=CC=C(Cl)C=C23)C=C1,0.7900965809822083
JHWUXMUHCFSXIS-OVCLIPMQSA-N,CCOC1=CC=C(C(=O)N/N=C/C2=CC([N+](=O)[O-])=CS2)C=C1,0.5101214051246643
GWNPRPOEZOJFHO-UHFFFAOYSA-N,OC(COC1C2CC3CC(C2)CC1C3)CN1CCOCC1,0.24123471975326538
VGEVGTWKOGDMJH-UHFFFAOYSA-N,CCOC1=CC=C2C(=NN=CC3=CC=CC(OC)=C3)C=C(C)NC2=C1,0.896750271320343
WAIYJGWQTGVSJY-UHFFFAOYSA-N,C1=CC=C(P(=C2C3=CC=CC=C3C3=CC=CC=C23)(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,0.3472556173801422
ZDJDDHHJDNXZRV-GWHBCOKCSA-N,CN(C(=O)CCN1CCC(OC(=O)NC2=CC=CC=C2C2=CC=CC=C2)CC1)C1=CC=C(CC(=O)NCC2=CC=C(CCNC[C@H](O)C3=CC=C(O)C4=C3C=CC(=O)N4)C=C2)C=C1,0.06435403227806091
JKIRNPPDEQPHQE-UHFFFAOYSA-N,NCCCNCCCCNCCCCN1C(=O)C2=C3C(=CC=C2)C=CC=C3C1=O,0.12128132581710815
ZFZWERMXSWIPRQ-VWLOTQADSA-N,COC1=CC=C(C2=CC=CC(COC3=CC=C([C@H](CC(=O)O)C4=NC=CN4C)C=C3)=C2)C=C1,0.08522510528564453
HAOJSTOAECRQGW-WWQQVGJXSA-N,CCCCN(C)/C(CC)=N/C1=CC=C2C(=C1)C(=O)C1=CC=C(/N=C(\CC)N(C)CCCC)C=C1C2=O,0.712896466255188
SRRZEMVAQOSBLB-UHFFFAOYSA-N,C1=CC=C(CCN2C3CCC2CC3)N=C1,0.3866029381752014
VPPPLAKILVBFMD-UHFFFAOYSA-N,CC1=CC2=C(C(=O)NCC3=CC=C(N4CCC(C5=CC=C(OC(F)(F)F)C=C5)CC4)C=C3)C(C)=NN2C=C1,0.6318760514259338
KPSNFOHNLPZDRP-NJSLBKSFSA-N,CC1=NOC(C)=C1NC(=O)NC1=CC=CC2=C1O[C@@H](CN(C)S(C)(=O)=O)[C@@H](C)CN([C@@H](C)CO)C2=O,0.037968218326568604
RXXCIBALSKQCAE-UHFFFAOYSA-N,CC(C)CCOCC1=CC=CC=C1,0.06378918886184692
HJVRGNVSQKIHBY-UHFFFAOYSA-N,CCCCNC1=NN=C(CCN2N=C(C)C(Br)=C2C)S1,0.33761337399482727
WFVKABQFHLSPFH-INIZCTEOSA-N,CCN1N=CC(C2=NC3=C(N[C@H]4CCN(C(=O)C5CCOCC5)C4)N=CN=C3N2C)=C1C,0.11815574765205383
SZYQCCZQMOWZEU-UHFFFAOYSA-N,CC1=CC(C)=C(S(=O)(=O)N2CCOC23CCN(S(C)(=O)=O)CC3)C(C)=C1,0.04258370399475098
BJEPBULKEVIYBP-UHFFFAOYSA-N,CC(C)N1N=C(C2=CC=C3OC(N)=NC3=C2)C2=C(Br)N=C(N)N=C12,0.04956510663032532
LTBAVIKQCJGFGL-DPSVNRJGSA-N,C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1CN(S(=O)(=O)C2=CC=C(F)C=C2)CN1C(=O)[C@@H](NC(=O)OC1CCCC1)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1,0.03810438513755798
SXRKIFFGKQRXMR-UHFFFAOYSA-N,CC(C)COC(=O)N1CCCCC1C1=CC(C(=O)N2CCOCC2)=NO1,0.04382529854774475
YOQXJJARPAWPJV-UHFFFAOYSA-N,CC1CCCN(C(=O)C2=CC=C([N+](=O)[O-])O2)C1,0.3807695806026459
SOCFMKNDWIYRRR-UHFFFAOYSA-N,CCN(CC)C(=O)C1=C(C)C2=C(S1)N(CC(=O)NC1=CC=CC=C1)C(=O)N(C1=CC=C(OC)C=C1OC)C2=O,0.4351280927658081
CVAQCUFVFMUERM-UHFFFAOYSA-N,COC1=CC(C2=CC=C(OCCC(C)C)C=C2)=C(OC)C(O)=C1C1=CC=C(O)C=C1,0.4351280927658081
UYKWWWBGNUBPCF-VHXPQNKSSA-N,COCCCN1C(C2=CC=C(S(=O)(=O)N3CCOCC3)C=C2)=CS/C1=N\C1=CC=CC=C1,0.6180059909820557
TUVIKSUZLKLDRJ-UHFFFAOYSA-N,CC1=CC=CC(NC(=O)CN2CCC3=CC4=C(C=C3C2C)OCCCO4)=C1,0.3479987382888794
AIODKQYYALFNGH-OBGWFSINSA-N,COC(=O)C1=C(C)N=C(C)/C(=C(/O)OC)C1C(=O)OCC(=O)C1=CC=C(Br)C=C1,0.03793284296989441
ULKVTWZZSYMWKM-OUKQBFOZSA-N,CC12CC3CC(C)(C1)CC(/N=C(\N)NC1=CC=CC=C1/C=C/C1=CC=CC=C1)(C3)C2,0.655219316482544
XXOCKOBQSMYTBC-UHFFFAOYSA-N,CC(=O)NC1=CC=C(OC(F)(F)C(F)F)C(NC(C)=O)=C1,0.0859435498714447
KJJYXWAOCHOXSO-UHFFFAOYSA-N,COC1=CC=C(N2C(=O)C3=CC=CC=C3N(CC3=CC=CC=C3F)C2=O)C=C1OC,0.8002691864967346
OCHUYZCQFZEMGU-UHFFFAOYSA-N,CC1=CC=C(C(=N)NOC(=O)C2=CC=C3C=CC=CC3=C2)C=C1,0.30903947353363037
VFJXXDCXLPMUBR-UHFFFAOYSA-N,O=C(C1=C(NC2=CC(Cl)=CC(Cl)=C2)NC2=C(Cl)C=CC([N+](=O)[O-])=C2C1=O)C1CC1,0.6558936834335327
AVJXKYISGXVRHY-UHFFFAOYSA-N,CC1(C)CC(C)(C)CC2(C1)NCC1=CC(C(C)(C)C)=CC(I)=C1O2,0.583308219909668
WXZGKBGEDPBBPB-UHFFFAOYSA-N,O=C(COC1=CC=CC2=C1CNCC2)NCC(O)CN1CCC2=CC=CC=C2C1,0.3138802647590637
WJOFBCYZALIRKI-UHFFFAOYSA-N,O=C(C1=CC2=CC=CC=C2N1)N1CCN(CCOC2=CC=CN=C2)CC1,0.14125993847846985
KRIRSNPOXFHZIB-UHFFFAOYSA-N,CCNC(=O)CC1=CC=C(C2=CC=CC=C2)C=C1,0.30106544494628906
BDLDSSMAHRDDGB-UHFFFAOYSA-N,CC(O)CCCCN1C(=O)C(CCOC2=CC=CC=C2CC(=O)O)OC2=CC=CC=C12,0.0736818015575409
GKKSHWWDZSJINW-UHFFFAOYSA-N,CNC(=O)C1=CC(OC2=CC=C3N=C(NC4=CC=C(C5=CC=CN=C5)C=C4)N=CC3=C2)=CC=N1,0.07105022668838501
WDMCNBXVZBAGKS-UHFFFAOYSA-N,CN(CC1=CC=CC=C1)C(=O)C1=CC2=C(C3=CC=CC=C3N(C)C2=O)S1,0.0802258849143982
DAEZZWXOBPFGQJ-UHFFFAOYSA-N,CS(=O)(=O)N1CCN(C(=O)C2=CC(C3=CC=CS3)=CS2)CC1,0.04114961624145508
GUERDLPJJJMIEU-UHFFFAOYSA-N,CC1=CC=CC(CCN)=C1,0.3551608622074127
PGLJEFBAXFMYBH-UHFFFAOYSA-N,CC1=CSC(CNC(=O)NC(C)C2=CC=C3C(=C2)OCCO3)=N1,0.10293880105018616
BKGCPRVFMYQBRH-KPKJPENVSA-N,C=C(/C=C/C(=O)NC1=CC=C(N)C=C1)CC1(C)CC2=CC=CC=C2C1=O,0.06997254490852356
DWBXNQKRJAOIHK-NRFANRHFSA-N,C=CC[C@H]1CN(C2CCCC2)C2=NC(NC3=CC=C(C(=O)NC4CCN(C)CC4)C=C3OC)=NC=C2N(C)C1=O,0.5258053541183472
ZAZULDNVGOECEO-VGVWILAUSA-N,CCOP(=O)(OCC)C(NC(=S)NC(=O)[C@]1(C)CCC[C@]2(C)C3=CC=C(C(C)C)C=C3CC[C@@H]12)C1=CC=CC=C1F,0.21228748559951782
ZXWUBJASPQKEAN-UHFFFAOYSA-N,NC(=O)C1=CC2=CC(CC3=CC=CC=C3)=C(C(F)(F)F)N=C2N=C1N,0.1413196325302124
VJOQCICRCCURSU-UHFFFAOYSA-N,O=[N+]([O-])C1=NN(CCCN(CC2=CC=C(C(F)(F)F)C=C2)CC2=CC=C(C(F)(F)F)C=C2)C=N1,0.8984249830245972
KPAFCNXCULLUIL-UHFFFAOYSA-N,O=C(C1=CC=C(S(=O)(=O)NC2=CC=CC=C2)C=C1)N1CCCC(C(F)(F)F)C1,0.3829396069049835
GUSYYOQMHQNUSZ-UHFFFAOYSA-N,ClC1=CC=C(N=C2C=CN(CCCCCN3C=CC(=NC4=CC=C(Cl)C=C4)C=C3)C=C2)C=C1,0.8378580808639526
KKPGANILSLDBNG-UHFFFAOYSA-N,C=CCN1C(SCC(=O)NC2=CC(C)=C(Cl)C=C2OC)=NN=C1C1=CC=CO1,0.24098733067512512
AXTRRTMVQMYCRV-UHFFFAOYSA-N,CCCCCCN1C=NC2=C3C=CC=CC3=C3C(=C12)CCC(C)(C)O3,0.9267226457595825
BJWIPOMEOBTTJP-SRCKYBTLSA-N,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](OC(=O)NCCNC(=O)/C(C#N)=C/C5=CC=CC(Cl)=C5)CC[C@]4(C)[C@H]3CC[C@]12C,0.35906994342803955
KMLCAXOEHCQJRO-UHFFFAOYSA-N,CN(CCCC1=CNC2=CC=C(F)C=C12)C1COC2=CC=C3C(=C2C1)C(=O)NCC3,0.9232988357543945
YFFNJWCMUGIYOE-HXBUSHRASA-N,CC(=O)OCC1=C(C(=O)OC(C2=CC=CC=C2)C2=CC=CC=C2)N2C(=O)[C@H](Cl)C2SC1,0.36393845081329346
JUFDKIHNAKWIPB-BXXZVTAOSA-N,O=C(O)C(=O)OC[C@H]1OC(=O)[C@H](O)[C@@H]1O,0.037874460220336914
NVOSPZNQVSARGS-UHFFFAOYSA-N,COC1=CC=C(OC(=O)C2=NC(SCC3=CC=CC=C3F)=NC=C2Cl)C=C1,0.07801446318626404
YUUYGPGETZPGDG-UHFFFAOYSA-N,FC1=CC=CC(CNCC2CN3N=NC=C3CO2)=C1,0.10123521089553833
AAGONDJNRDWVLR-SANMLTNESA-N,CC[C@@]1(O)C(=O)OCC2=C1C=C1N(C2=O)CC2=C1N=C1C=CC(OC)=CC1=C2C1CCCC1,0.05287691950798035
ZELWNOUFNSTJBZ-UHFFFAOYSA-N,CCOC1=CC=C2N=C(NC(=O)C(=O)C(C(=O)C3=CC=CC=C3F)C3OC(=O)C4=CC=CC=C34)SC2=C1,0.21136900782585144
DVBXFRSRFUTZTN-UHFFFAOYSA-N,CCC1=CC=C(I)C(CC)=C1NC(=O)CN(CC(=O)O)CC(=O)O,0.03804248571395874
ICZJHRYDJKYLQD-YTZAWJCFSA-N,CO[C@H]1CN(C)C(=O)C2=CC=C(NC(=O)C3CC3)C=C2OC[C@H](C)N(C(=O)C2=CC=CC=N2)C[C@H]1C,0.038130104541778564
CXRJHASYZPXNEG-UHFFFAOYSA-N,CC1=C(Cl)C=CC=C1NC(=O)C1=CC(NC(=O)C2=CC=CC=C2C(F)(F)F)=CC2=C1N=C(C1CCCC1)N2,0.595933198928833
MQKSZWYYHGTHIV-UHFFFAOYSA-N,CC(C)NS(=O)(=O)C1=CC=C(OCC(=O)NC2=CC=CC=C2F)C=C1,0.047117680311203
FIRIFVVVVQIBLD-UHFFFAOYSA-N,CC1=NN(C2=CC=C(C(=O)O)C=C2)C(=O)CC1,0.03812602162361145
XVXCKHQWKUVAPE-UHFFFAOYSA-N,CC(NC(=O)C1=CC=C(S(N)(=O)=O)C=C1)C(=O)O,0.03787735104560852
IFDQXIBLGLRXER-KTIHBUSBSA-N,COC(=O)[C@@]12CCCN1[C@H](C1=CC=C(SC3CCCCC3)C=C1)[C@H]1C(=O)N(C)C(=O)[C@@H]21,0.10259860754013062
LWMHQSNCXDHONB-UHFFFAOYSA-N,O=C(C1=CC=CC=C1)N1CCN(S(=O)(=O)C2=CC=CS2)CC1,0.04280838370323181
KIBICQVMFUXHBE-UHFFFAOYSA-N,CCCN(CCN1CCN(C2=CC=CC=N2)CC1)C1CCC2=CC=C(O)C=C2C1,0.5958852171897888
HRWQNVARHISMJN-HTWIIDBLSA-N,CCCCNC(=O)CC(O)C(CC1=CC=CC=C1)NC(=O)[C@@H](NC(=O)CN1CCC(C(N)=O)(C2=CC=CC=C2)CC1)[C@@H](C)CC,0.36143237352371216
NFASEKPXRUMCIX-UHFFFAOYSA-N,COC1=CC=CC(C2=CC(O)=C3C(=C2)CN(C(=O)C2CC2)CCO3)=C1,0.4360937476158142
ZKKQCCSHBYRQHR-UHFFFAOYSA-N,O=C(O)C(=O)C1CC2=CC=C([N+](=O)[O-])C=C2CN1S(=O)(=O)C1=CC=C(C2=CC=C(F)C=C2)C=C1,0.04305186867713928
BRAYPVFMFWTUKN-JOBXNTDGSA-N,C[C@]12CC[C@H]3[C@@H](CC[C@H]4NC(=O)CC[C@]34C)[C@@H]1CC[C@@H](N1C=NC3=C(N(CCO)CCO)N=C(Cl)N=C13)O2,0.06595414876937866
JMWXCKBNMITSIN-SJORKVTESA-N,CC1=NOC(C)=C1CN1CCO[C@H]2CN(CC3=CN(C)N=C3)C[C@@H]12,0.5545803904533386
FNEMLYLQYCOWSI-LICLKQGHSA-N,CN1C(C2=CC=C(Cl)C=N2)=C(C2CCCC2)C2=CC=C(C(=O)NC(C)(C)C(=O)NC3=CC=C(/C=C/C(=O)O)C=C3)C=C12,0.3268398940563202
BUAPSNKVPWEGPA-SECBINFHSA-N,N[C@@H](CS)CC1=CC=CC=C1,0.07222586870193481
HXGOZZCNWIRGDR-UHFFFAOYSA-N,CN(C)C1=CC(C2=C(CC(=O)O)SC(C(C3=CC=C(F)C=C3)C3=CC=C(F)C=C3)=N2)=CC=N1,0.0399264395236969
